month,avg_temperature,avg_humidity,avg_precip,avg_uv
1,0.5707520100232647,0.6645820166228324,0.0029679916043552357,0.16098318859055036
2,0.5711833183839198,0.6541233315756204,0.0026067696619854345,0.18239420072828144
3,0.6072240052846257,0.6341259894124835,0.0031033204917909384,0.20865903036814867
4,0.6324569477605911,0.622728065585208,0.0030661179098679047,0.2273189659692724
5,0.6593855850184335,0.6154489248782617,0.003595996831586638,0.2616135133801539
6,0.6829226092844674,0.600937483034061,0.003309843153928362,0.29452064530632427
7,0.6871719865783357,0.615509888029891,0.003958647822108196,0.2902923070345498
8,0.6835081333908015,0.6218657203968522,0.003636774102176528,0.2829013040806245
9,0.6632771070499583,0.6552959558599134,0.0036216149252069466,0.25310064170007235
10,0.6275623574852246,0.6822896930655546,0.003042151925839959,0.17587844380075157
11,0.5960296221464261,0.692054704679603,0.0033259053595183024,0.13864695641865188
12,0.5755991110307418,0.6508245978292057,0.0026290353911321606,0.1524709870247173
